"Metabolite.name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Glycerophosphocholine",0.0225009243898328,0.00155092727251691,0.151112288351837,0.180007395118662,0.0124074181801353,1.20889830681469,0.000137114999153038,0.0000208575190747233,0.000866470769912077
"glycerol 3 phosphate",0.00193035286415519,0.000367278706435017,0.0508560240257592,0.00579105859246557,0.00110183611930505,0.152568072077278,0.0000052346517220437,0.000000792908862721621,0.000109352270684472
"Glutathione Disulfide",0.00162116113841848,0.000206108888854674,0.0044805288740947,0.0324232227683696,0.00412217777709348,0.089610577481894,0.0000245736769484607,0.00000518688237014544,0.0000862007893594729
"Glutamine",0.081032535977428,0.00991272532892835,0.236649353917112,0.40516267988714,0.0495636266446418,1.18324676958556,0.000319914778258839,0.0000724771434195835,0.00113247518301092
"Glutamic acid",0.507167961496144,0.109049473495863,1.24936228327401,2.53583980748072,0.545247367479313,6.24681141637006,0.00250194427206553,0.000630676954035176,0.00447773850121555
"Glucosylglycerol",0.0190497897871278,0.000500441656997625,0.178548943195904,0.17144810808415,0.00450397491297863,1.60694048876314,0.000104761371122707,0.00000363860890382263,0.00163689529728287
"Glucosamine",0.000222082280765479,0.0000415682241213358,0.00587846945109533,0.00133249368459287,0.000249409344728015,0.035270816706572,0.00000135046809838081,0.00000015781378014146,0.0000298697377209351
"Gluconic Acid",0.000483922248602287,0.0000643047625101906,0.00585984785284577,0.00290353349161372,0.000385828575061143,0.0351590871170746,0.00000228937804859129,0.000000352386667983305,0.0000338212424003481
"Fumaric Acid",0.0316918062183069,0.00584158613769075,0.266122421033626,0.126767224873228,0.023366344550763,1.0644896841345,0.000136198573375795,0.0000162079922719481,0.000846662351183253
"Ectoine",0.00707126285711592,0.00228259353749361,0.0259382448858535,0.0424275771426955,0.0136955612249617,0.155629469315121,0.0000473379946694759,0.0000106883919078067,0.000198183986127782
"DMSP",0.148995724868832,0.026958390144852,0.689017781051821,0.744978624344161,0.13479195072426,3.44508890525911,0.000739962540650352,0.000154040976551367,0.00269900232798952
"Dimethylsulfonioacetate (DMS-Ac)",0.04291117384379,0.00141644053911197,0.170705097624566,0.17164469537516,0.00566576215644788,0.682820390498264,0.000136471459209721,0.0000100097953954428,0.00057971413952942
"DHPS",0.0253741750819478,0.000354019245221187,0.430661827134416,0.0761225252458435,0.00106205773566356,1.29198548140325,0.0000627839833388241,0.00000333647833169278,0.000926023014902191
"Deoxyadenosine",0.00125489415849513,0.0000978296541340906,0.00601662657061018,0.0125489415849513,0.000978296541340906,0.0601662657061018,0.000013346835550548,0.00000295702703385224,0.0000575846091601555
"Cytosine",0.0199272811674596,0.00319696442156324,0.042059620990225,0.0797091246698384,0.012787857686253,0.1682384839609,0.0000814634964890296,0.0000130262347954539,0.000179789623698919
"Cytidine",0.00433873054760906,0.000458790999168902,0.00991468968907984,0.0390485749284815,0.00412911899252012,0.0892322072017186,0.0000341037229245715,0.00000631617644453272,0.0000772006575445912
"Cystine",0.00458265041508879,0.000149812111703385,0.0297965392243571,0.0274959024905327,0.000898872670220307,0.178779235346142,0.0000289991006939306,0.000000239193239792288,0.000305459284610962
"Cysteic Acid",0.000780398293005226,0.00045251647680983,0.00450132418028603,0.00234119487901568,0.00135754943042949,0.0135039725408581,0.00000218107749814289,0.000000410555896393165,0.0000119061900035783
"Cystathionine",0.000544867169649306,0.000103129432741193,0.0056861369931203,0.00381407018754514,0.000721906029188354,0.0398029589518421,0.00000333034126553915,0.000000253643371147977,0.0000334254574998492
"Cys-Gly oxidized",0.000611720850906038,0.000113399553030413,0.00349346425173932,0.00611720850906038,0.00113399553030413,0.0349346425173932,0.00000632100343815935,0.000000898866404188685,0.0000764917147876732
"Creatine",0.0117008530605767,0.00261944079629406,0.744507890788174,0.0468034122423068,0.0104777631851762,2.9780315631527,0.000057917001819974,0.0000107471336335124,0.0030335447360821
"Citrulline",0.0047490284055897,0.000414729935439333,0.0185486180948977,0.0284941704335382,0.002488379612636,0.111291708569386,0.0000231405033625612,0.00000543231976478143,0.000111220004671551
"Citric Acid",0.00394734367067277,0.000334535901619817,0.0913465425086552,0.0236840620240366,0.0020072154097189,0.548079255051931,0.0000245522412874957,0.000000534127215920356,0.000512184483871129
"Choline",0.046303934000128,0.0076742721911562,0.387089089761379,0.23151967000064,0.038371360955781,1.93544544880689,0.000233977195977007,0.0000469410439656981,0.00138721917194942
"Chitobiose",0.000117647468273303,0.0000448236413938253,0.00147393189425638,0.00188235949237285,0.000717178262301204,0.0235829103081021,0.00000182072651707596,0.000000303202197519475,0.0000226855527670581
"Carnitine",0.0100107357655115,0.00182504797342158,0.0249552412600891,0.0700751503585804,0.0127753358139511,0.174686688820624,0.000065733295837084,0.0000129671078335251,0.000157927042065321
"Butyryl-L-carnitine",0.0000315464704685396,0.00000303953334318015,0.00008312736983179,0.000347011175153936,0.0000334348667749817,0.000914401068149691,0.000000293078635456211,0.0000000721961273942726,0.00000142628504577315
"Betaine",0.900496380408428,0.317629652609457,2.32299758092078,4.50248190204214,1.58814826304728,11.6149879046039,0.004969549850142,0.000923294163741474,0.00940558138296325
"Aspartic acid",0.0854010837033044,0.00498220488752869,0.248533249047137,0.341604334813218,0.0199288195501148,0.99413299618855,0.000271965454705059,0.0000626068361185937,0.00080029568379432
"Asparagine",0.0276886783237706,0.00940296594166289,0.0778594133282354,0.110754713295082,0.0376118637666516,0.311437653312942,0.000109750636891647,0.0000254937164427666,0.000259640934999934
"Arsenobetaine",0.0094692700220734,0.00118258300842771,0.0268718352871641,0.047346350110367,0.00591291504213854,0.13435917643582,0.0000342634621447422,0.00000565919951492388,0.000218128924978245
"Arginine",0.0370255115535172,0.00698850804342765,0.19273632097852,0.222153069321103,0.0419310482605659,1.15641792587112,0.00020364438675066,0.0000662566743004576,0.000887171473360833
"AMP",0.0187669142371236,0.000127801899426963,0.19098613362686,0.187669142371236,0.00127801899426963,1.9098613362686,0.000139515342683559,0.00000313915064369133,0.00166524739929819
"Aminobutyric Acid",0.0336594863877327,0.0110078101035439,0.0712452624316692,0.134637945550931,0.0440312404141756,0.284981049726677,0.00012846607632139,0.0000346314149471191,0.000393841354952946
"Amino Propanesulfonic Acid",0.0266048655420212,0.00534661969838749,0.291011276739551,0.0798145966260636,0.0160398590951625,0.873033830218653,0.0000825408543419997,0.00000814448958124833,0.000726431806445413
"Allopurinol",0.000458391845787051,0.0000125250349346104,0.00169482754545877,0.00229195922893526,0.0000626251746730519,0.00847413772729385,0.00000276675423364841,0.00000015400440066863,0.0000111235662355993
"Alanine",0.144653857439457,0.0338655734609721,1.07030431726638,0.433961572318372,0.101596720382916,3.21091295179913,0.000396664568812582,0.000110325150901874,0.00268081285915654
"Adenosyl Methionine",0.00050772157532539,0.0000228302024653809,0.00981339881611137,0.00761582362988085,0.000342453036980714,0.147200982241671,0.00000664390924511626,0.000000454911834768518,0.000122119175320531
"Adenosyl Homocysteine",0.00147067063417503,0.000156301880059505,0.0161116958910465,0.0205893888784504,0.00218822632083308,0.225563742474651,0.0000208637857254927,0.00000183465276199579,0.000268883668875599
"Adenosine",0.0124253133479191,0.00182344788201479,0.0443792704055129,0.124253133479191,0.0182344788201479,0.443792704055129,0.000126112367477983,0.0000305100983898761,0.000385680218086977
"Adenine",0.0197572401005408,0.00368525083211106,0.0378172091441515,0.0987862005027041,0.0184262541605553,0.189086045720757,0.0000927609795219588,0.0000217726408354856,0.000175132915054486
"Aconitic Acid",0.000101228737530442,0.0000355778178879498,0.000974734976901341,0.000607372425182655,0.000213466907327699,0.00584840986140805,0.00000061009705136102,0.000000148214993395923,0.00000562587097101301
"Acetyl-L-carnitine",0.00221073152606238,0.000660382709362159,0.00933441293512366,0.0198965837345615,0.00594344438425943,0.0840097164161129,0.0000181174104098116,0.00000485935011334081,0.000142178416326256
"6-Methyladenine",13.0746904634659,1.49913570887036,38.9753568898446,78.4481427807954,8.99481425322216,233.852141339068,0.0747193353247218,0.0145683414925652,0.342625103412454
"5-Methylcytosine",1.39372937482442,0.639089047467816,11.6574259111603,6.96864687412209,3.19544523733908,58.2871295558016,0.00767829382420154,0.00174358735680895,0.0469222311130504
"4-Hydroxyisoleucine",0.984616446420789,0.187462762640831,10.1336857231321,5.90769867852473,1.12477657584498,60.8021143387925,0.005574118669437,0.00142388629262499,0.0465172369633641
"(3-Carboxypropyl)trimethylammonium (TMAB)",13.4274490223225,2.42686549684939,34.0564009151821,93.9921431562576,16.9880584779457,238.394806406275,0.0930452993399168,0.0159541119462919,0.189233918929941
